	TIME:	31-Dec-59	12:00	to	31-Dec-10	12:00							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRED	is	"PRE[D=cru_ts4.03.1901.2018.pre.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	02:00	PETD	is	"PET[D=cru_ts4.03.1901.2018.pet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	03:00	CLDD	is	"CLD[D=cru_ts4.03.1901.2018.cld.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	04:00	DTRD	is	"DTR[D=cru_ts4.03.1901.2018.dtr.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	05:00	TMPD	is	"TMP[D=cru_ts4.03.1901.2018.tmp.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	06:00	TMND	is	"TMN[D=cru_ts4.03.1901.2018.tmn.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	07:00	TMXD	is	"TMX[D=cru_ts4.03.1901.2018.tmx.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	08:00	VAPD	is	"VAP[D=cru_ts4.03.1901.2018.vap.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	09:00	WETD	is	"WET[D=cru_ts4.03.1901.2018.wet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	10:00	FRSD	is	"FRS[D=cru_ts4.03.1901.2018.frs.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
				PRED	PETD	CLDD	DTRD	TMPD	TMND	TMXD	VAPD	WETD	FRSD
16-Nov-68	0	/	815:00:00	19.4	5.8	53.2	11.2	28	22.4	33.6	17.8	3.33	0
16-Dec-68	0	/	816:00:00	12.3	5.6	56.5	12.5	28.1	21.9	34.4	17.2	5.54	0
16-Jan-69	0	/	817:00:00	22.1	5.9	57.7	12.5	28.2	22	34.5	16.9	8.84	0
15-Feb-69	0	/	818:00:00	23.6	6.1	58.9	12.5	28.2	22	34.5	17	7.44	0
16-Mar-69	0	/	819:00:00	28	6.2	62	12	29	23	35	18.9	6.39	0
16-Apr-69	0	/	820:00:00	8.9	6	54.1	11.5	29.8	24.1	35.6	21.9	3.22	0
16-May-69	0	/	821:00:00	39.5	5.8	50.9	10.7	28.8	23.5	34.2	20.7	8.57	0
16-Jun-69	0	/	822:00:00	3.7	5.7	49.4	10.6	28.2	22.9	33.5	19.7	2.73	0
16-Jul-69	0	/	823:00:00	9.3	5.5	54.5	10	27.7	22.7	32.7	19.4	3.52	0
16-Aug-69	0	/	824:00:00	4.2	5.9	50.6	10.5	27.6	22.4	32.9	18.3	4.18	0
16-Sep-69	0	/	825:00:00	3.7	6.5	44.4	11.2	29	23.4	34.6	18.3	4.37	0
16-Oct-69	0	/	826:00:00	19.5	6.5	52.3	11.1	29.7	24.2	35.3	18.6	10.38	0
16-Nov-69	0	/	827:00:00	16.5	5.9	52	11.3	28.6	23	34.3	18.2	5.25	0
16-Dec-69	0	/	828:00:00	1.8	6.1	40.1	13.7	28.8	22	35.7	17.1	1.21	0
16-Jan-70	0	/	829:00:00	40.2	6	55.7	12.9	28.5	22.1	35	17.1	11.55	0
15-Feb-70	0	/	830:00:00	4.5	6.6	50.1	13.2	29.9	23.3	36.5	18.1	2.58	0
16-Mar-70	0	/	831:00:00	45.7	5.9	72.7	11.6	29.7	23.9	35.5	20.2	8.11	0
16-Apr-70	0	/	832:00:00	82.2	5.5	66.4	11.1	28.9	23.4	34.5	21.1	9.91	0
16-May-70	0	/	833:00:00	20.1	5.6	55.5	10.6	29	23.7	34.3	21.1	6	0
16-Jun-70	0	/	834:00:00	4.8	5.7	50.9	10.6	28.4	23.1	33.7	19.7	3.54	0
16-Jul-70	0	/	835:00:00	9.5	5.5	56.4	9.9	27.8	22.9	32.8	19.7	3.86	0
16-Aug-70	0	/	836:00:00	7.5	5.6	58.4	9.7	27.6	22.8	32.5	19	6.87	0
16-Sep-70	0	/	837:00:00	4.6	6.3	48.5	10.9	28.8	23.4	34.3	18.4	3.41	0
16-Oct-70	0	/	838:00:00	8.7	6.2	58	10.4	29.5	24.3	34.7	19.2	6.01	0
16-Nov-70	0	/	839:00:00	9.1	6.2	43.3	11.8	28.6	22.7	34.5	17.9	3.31	0
16-Dec-70	0	/	840:00:00	5.5	6	38.9	13.6	28.1	21.3	34.9	16.9	3.12	0
16-Jan-71	0	/	841:00:00	7.3	6.4	39.7	13.9	28.2	21.3	35.2	16.1	4.85	0
15-Feb-71	0	/	842:00:00	1.3	7	34.1	14.3	29	21.9	36.2	16.2	1.14	0
16-Mar-71	0	/	843:00:00	4	7	42.5	13.3	29.6	23	36.3	18.3	2.14	0
16-Apr-71	0	/	844:00:00	65.1	5.8	59.8	11.4	29.1	23.4	34.8	21	8.99	0
16-May-71	0	/	845:00:00	29.7	5.6	53.1	10.6	28.2	22.9	33.5	20.3	7.31	0
16-Jun-71	0	/	846:00:00	8.4	5.6	46.8	10.6	27.5	22.2	32.8	18.9	5.61	0
16-Jul-71	0	/	847:00:00	14.6	5.5	54.4	10.1	27.2	22.2	32.3	18.7	5.27	0
16-Aug-71	0	/	848:00:00	4.7	5.7	54.7	10.2	27.4	22.3	32.5	18.3	4.93	0
16-Sep-71	0	/	849:00:00	5.5	6.3	45.7	11.1	28.3	22.8	33.9	17.8	3.79	0
16-Oct-71	0	/	850:00:00	9.2	6.2	57	10.5	28.8	23.6	34.1	18.2	6.54	0
16-Nov-71	0	/	851:00:00	20.9	5.8	54	10.7	28.3	23	33.7	18.4	5.6	0
16-Dec-71	0	/	852:00:00	10.2	5.8	43.3	13.1	27.6	21.1	34.2	16.6	3.79	0
16-Jan-72	0	/	853:00:00	0.5	6.3	43.9	13.6	28.3	21.5	35.1	16.5	0.76	0
15-Feb-72	0	/	854:00:00	15.6	6.2	56.8	12.6	28.3	22	34.6	17	6.02	0
16-Mar-72	0	/	855:00:00	7.3	6.7	52.3	12.9	29.7	23.3	36.2	19	2.62	0
16-Apr-72	0	/	856:00:00	40.5	5.7	64.2	11.1	29.6	24.1	35.2	22.1	6.67	0
16-May-72	0	/	857:00:00	22.3	5.7	53.5	10.8	29.2	23.8	34.6	21.4	5.8	0
16-Jun-72	0	/	858:00:00	14.9	5.6	53.8	10.4	28.3	23.1	33.5	19.9	7.3	0
16-Jul-72	0	/	859:00:00	8.7	5.4	60.4	9.6	28	23.2	32.8	19.9	3.38	0
16-Aug-72	0	/	860:00:00	1.4	5.9	52.6	10.3	28.2	23.1	33.4	19.1	2.26	0
16-Sep-72	0	/	861:00:00	8	6.5	45.1	11.3	29.2	23.6	34.9	18.6	8.56	0
16-Oct-72	0	/	862:00:00	27.2	6.3	56	10.8	29.7	24.3	35.1	19.1	11.91	0
16-Nov-72	0	/	863:00:00	43.2	5.5	63.8	10.4	28.4	23.2	33.6	18.8	8.47	0
16-Dec-72	0	/	864:00:00	7.7	5.8	51.2	12.8	28.9	22.5	35.3	18.1	3.51	0
16-Jan-73	0	/	865:00:00	7.1	6.3	48.4	13.4	29	22.3	35.7	17.2	3.91	0
15-Feb-73	0	/	866:00:00	8.2	7	42	14	30.4	23.4	37.4	17.9	2.75	0
