"","V1"
"286","3.7,3.1,4.3,3.1,2.7,2.7,3.1,2.9,3"
"287","4.1,2.9,4.7,3.6,3.1,3.2,2.7,2.9,2.8"
"288","3.8,3.1,4.7,3.7,3.3,3.9,2.6,3.2,3.1"
"289","3.8,3,4.6,3.1,2.9,4,2.4,3.4,3"
"290","4.4,3.4,4.7,3.9,3.6,4.3,2.5,3.7,3.5"
"291","5.1,3.8,5.1,4.6,4.4,4.6,2.9,4.1,3.9"
"292","4.8,3.7,4.9,4.4,3.9,4.7,2.8,3.9,3.7"
"293","3.6,3.3,3.9,4,3.6,4.1,2.4,3.3,3.4"
"294","3.2,3.3,3.6,3.5,3.2,3.5,2.6,3.2,3.2"
"295","2.7,3.1,3.5,2.9,2.6,2.9,2.9,3.1,2.9"
"296","2.5,3,3.5,2.9,2.7,2.7,3.1,2.9,2.7"
"297","2.8,3,3.7,3.1,2.8,2.8,3.3,2.9,2.8"
"298","3.9,3.4,4.4,3.2,2.8,2.7,3.4,3.3,3.3"
"299","4,3.5,4,3.5,3,3.2,3.1,3.6,3.5"
"300","3.3,3.2,4,3.6,3.2,3.7,2.6,3.3,3.3"
"301","3.9,3.3,4.3,3.5,3.4,3.9,2.6,3.5,3.3"
"302","4.7,3.5,4.9,3.8,3.3,4,2.8,3.7,3.5"
"303","4.4,3.6,4.5,4.6,4.4,4.5,2.6,3.8,3.7"
"304","4.4,3.5,4.6,4.3,3.9,4.7,2.6,3.7,3.5"
"305","3.3,3,4,4,3.7,3.9,2.2,3,3"
"306","2.8,3.1,3.5,3.4,3.1,3.3,2.4,3,3"
"307","2.6,3,3.7,2.9,2.6,2.9,2.9,3,2.8"
"308","2.6,2.9,3.5,2.7,2.6,2.5,3.2,2.9,2.7"
"309","2.8,3,3.8,2.9,2.7,2.7,3.3,2.9,2.8"
"310","3.6,3.1,4.1,3.1,2.8,2.7,3.1,3,3"
"311","4.1,3.2,4.3,3.5,3.2,3.2,2.9,3.3,3.2"
"312","3.5,3.2,4.2,3.6,3.1,3.7,2.6,3.3,3.2"
