"","YEAR","X","XX","PRED","PETD","CLDD","DTRD","TMPD","TMND","TMXD","VAPD","WETD","FRSD"
"16-MAR-1980",0,"/","951:",94.4,2.7,86.3,12.3,19.3,13.2,25.5,17.9,19.42,0
"16-APR-1980",0,"/","952:",124.6,2.4,90.7,11.1,19.5,14,25.1,18.9,21.97,0
"16-MAY-1980",0,"/","953:",129.1,2.2,91.1,10.7,18.8,13.5,24.2,18.3,20.92,0
"16-JUN-1980",0,"/","954:",21.1,2.7,71.6,12.7,18.4,12.1,24.8,16,7.49,0
"16-JUL-1980",0,"/","955:",1.1,3.1,66.2,14.3,18.5,11.4,25.7,14.8,1.09,0
"16-AUG-1980",0,"/","956:",20,3.2,73.8,13.4,19.3,12.6,26,15.1,6.35,0
"16-SEP-1980",0,"/","957:",124.3,3.1,74.1,12.3,19.4,13.3,25.6,16.4,15.66,0
"16-OCT-1980",0,"/","958:",91.3,3,75.7,12.6,19.3,13,25.6,17.2,18.68,0
"16-NOV-1980",0,"/","959:",122.6,2.5,84.8,11.8,18.8,12.9,24.7,17.6,23.45,0
"16-DEC-1980",0,"/","960:",75.7,2.4,85.9,11.8,18.6,12.7,24.5,17.9,18.83,0
