"Gender","Year","Age","Exposure","Deaths"
"M",1995,46,356951,1017
"M",1995,47,380650,1119
"M",1995,48,380646,1397
"M",1995,49,344241,1274
"M",1995,50,320832,1403
"M",1996,20,300730,250
"M",1996,21,312807,279
"M",1996,22,328005,252
"M",1996,23,348725,297
"M",1996,24,368236,331
"M",1996,25,379817,353
"M",1996,26,385407,329
"M",1996,27,392183,355
"M",1996,28,400723,385
"M",1996,29,408396,415
"M",1996,30,413758,420
"M",1996,31,415955,475
"M",1996,32,413800,441
"M",1996,33,406604,430
"M",1996,34,397851,461
"M",1996,35,387265,470
"M",1996,36,374986,441
"M",1996,37,365068,475
"M",1996,38,357201,499
"M",1996,39,347814,585
"M",1996,40,337829,617
"M",1996,41,331895,600
"M",1996,42,331308,654
"M",1996,43,329787,739
"M",1996,44,328535,763
"M",1996,45,332294,922
"M",1996,46,341163,965
"M",1996,47,355997,1073
"M",1996,48,379392,1225
"M",1996,49,379028,1478
"M",1996,50,343129,1321
"M",1997,20,293466,263
"M",1997,21,301732,300
"M",1997,22,313940,291
"M",1997,23,328995,280
"M",1997,24,349122,308
"M",1997,25,369471,360
"M",1997,26,380571,367
"M",1997,27,386007,323
"M",1997,28,392720,358
"M",1997,29,401341,381
"M",1997,30,408927,392
"M",1997,31,413992,415
"M",1997,32,415866,433
"M",1997,33,413538,474
"M",1997,34,405914,437
"M",1997,35,396694,430
"M",1997,36,386247,415
"M",1997,37,374338,473
"M",1997,38,364871,510
"M",1997,39,357322,546
"M",1997,40,347856,558
"M",1997,41,337607,607
"M",1997,42,331717,651
"M",1997,43,330910,731
"M",1997,44,329436,786
"M",1997,45,327728,811
"M",1997,46,331308,874
"M",1997,47,340122,1089
"M",1997,48,354882,1142
"M",1997,49,377951,1351
"M",1997,50,377209,1554
"M",1998,20,298461,226
"M",1998,21,294756,218
"M",1998,22,303530,268
"M",1998,23,315702,283
"M",1998,24,330263,297
"M",1998,25,351294,305
"M",1998,26,371018,342
"M",1998,27,382049,373
"M",1998,28,387046,383
"M",1998,29,393933,399
"M",1998,30,402066,417
"M",1998,31,409675,395
"M",1998,32,414286,479
"M",1998,33,415912,473
"M",1998,34,412837,447
"M",1998,35,405107,494
"M",1998,36,395901,507
"M",1998,37,385590,510
"M",1998,38,373977,501
"M",1998,39,365058,545
"M",1998,40,357455,560
"M",1998,41,347854,630
"M",1998,42,337512,636
"M",1998,43,331540,709
"M",1998,44,330533,803
"M",1998,45,328725,877
"M",1998,46,327017,897
"M",1998,47,330444,1032
"M",1998,48,338977,1124
"M",1998,49,353804,1220
"M",1998,50,376340,1407
"M",1999,20,313221,246
"M",1999,21,299068,237
"M",1999,22,297021,239
"M",1999,23,306597,267
"M",1999,24,318616,281
"M",1999,25,334679,288
"M",1999,26,354903,310
"M",1999,27,374397,361
"M",1999,28,384870,356
"M",1999,29,389794,379
"M",1999,30,396006,398
"M",1999,31,404062,398
"M",1999,32,411025,423
"M",1999,33,415454,462
"M",1999,34,416269,472
"M",1999,35,412593,501
"M",1999,36,404868,492
"M",1999,37,395774,519
"M",1999,38,385401,529
"M",1999,39,374246,571
"M",1999,40,365029,588
"M",1999,41,357860,653
"M",1999,42,348152,657
"M",1999,43,337730,683
"M",1999,44,331429,741
"M",1999,45,329954,834
"M",1999,46,328106,959
"M",1999,47,326375,987
"M",1999,48,329526,1045
"M",1999,49,337962,1206
"M",1999,50,352582,1406
"M",2000,20,324247,244
"M",2000,21,313126,246
"M",2000,22,301362,235
"M",2000,23,301238,243
"M",2000,24,311234,256
"M",2000,25,324762,280
"M",2000,26,340051,264
"M",2000,27,359948,342
"M",2000,28,378735,354
"M",2000,29,388833,414
"M",2000,30,393063,368
"M",2000,31,399106,411
"M",2000,32,406275,447
"M",2000,33,413206,410
"M",2000,34,416997,465
"M",2000,35,416523,501
"M",2000,36,412619,535
"M",2000,37,405033,573
"M",2000,38,395787,541
"M",2000,39,385546,565
"M",2000,40,373589,611
"M",2000,41,365376,656
"M",2000,42,358222,648
"M",2000,43,348636,671
"M",2000,44,337707,747
"M",2000,45,330920,779
"M",2000,46,329325,864
"M",2000,47,327435,1001
"M",2000,48,325626,1067
"M",2000,49,328566,1272
"M",2000,50,336580,1449
